Tenure in Months,Monthly Charge,Contract,Paperless Billing,Payment Method,Unlimited Data,Avg Monthly GB Download,Number of Referrals
3,19.8,Month-to-Month,Yes,Mailed Check,,20.0,0
2,70.7,Month-to-Month,Yes,Bank Withdrawal,Yes,51.0,0
1,45.8,Month-to-Month,Yes,Credit Card,Yes,21.0,0
12,26.4,One Year,No,Mailed Check,,22.0,5
35,59.45,Month-to-Month,Yes,Credit Card,Yes,23.0,0
29,31.2,Month-to-Month,Yes,Bank Withdrawal,Yes,59.0,0
10,81.0,Month-to-Month,Yes,Credit Card,Yes,19.0,0
65,95.5,One Year,Yes,Bank Withdrawal,No,6.0,0
7,81.1,Month-to-Month,Yes,Bank Withdrawal,Yes,27.0,1
19,49.6,Month-to-Month,Yes,Bank Withdrawal,Yes,17.0,3
67,92.45,Two Year,Yes,Bank Withdrawal,Yes,21.0,0
66,19.35,Two Year,No,Bank Withdrawal,,22.0,0
10,73.35,Two Year,No,Credit Card,Yes,59.0,6
3,86.85,Month-to-Month,Yes,Bank Withdrawal,Yes,20.0,0
50,19.8,Two Year,No,Bank Withdrawal,,22.0,5
1,43.95,Month-to-Month,No,Credit Card,Yes,5.0,0
12,43.65,Month-to-Month,Yes,Bank Withdrawal,Yes,10.0,0
27,81.45,Month-to-Month,Yes,Bank Withdrawal,Yes,5.0,0
70,86.45,Two Year,No,Credit Card,Yes,5.0,0
45,96.75,One Year,No,Bank Withdrawal,Yes,30.0,0
3,70.3,Month-to-Month,Yes,Bank Withdrawal,Yes,16.0,0
15,101.75,Month-to-Month,No,Bank Withdrawal,Yes,13.0,8
47,19.65,Two Year,No,Bank Withdrawal,,22.0,1
63,19.25,Two Year,No,Credit Card,,22.0,9
1,25.15,Month-to-Month,Yes,Credit Card,Yes,52.0,0
15,19.8,Month-to-Month,No,Mailed Check,,22.0,4
6,83.55,Month-to-Month,Yes,Credit Card,Yes,6.0,1
5,64.0,Month-to-Month,Yes,Bank Withdrawal,Yes,29.0,0
4,89.6,Month-to-Month,No,Credit Card,Yes,20.0,0
7,100.4,Month-to-Month,Yes,Bank Withdrawal,Yes,25.0,0
56,19.8,Two Year,Yes,Credit Card,,22.0,2
5,70.05,One Year,No,Bank Withdrawal,Yes,23.0,1
33,103.7,One Year,Yes,Mailed Check,Yes,73.0,1
29,58.55,Two Year,Yes,Bank Withdrawal,Yes,22.0,0
8,19.05,Two Year,No,Credit Card,,22.0,1
4,19.95,Month-to-Month,Yes,Credit Card,,22.0,0
52,19.65,Two Year,No,Credit Card,,22.0,0
72,109.75,Two Year,Yes,Bank Withdrawal,No,14.0,1
27,25.85,Two Year,Yes,Credit Card,,22.0,0
64,24.4,Two Year,Yes,Bank Withdrawal,,22.0,9
3,85.3,Month-to-Month,Yes,Bank Withdrawal,Yes,21.0,0
58,80.65,Month-to-Month,No,Bank Withdrawal,Yes,8.0,0
67,105.4,One Year,Yes,Credit Card,Yes,25.0,3
13,19.85,Month-to-Month,Yes,Credit Card,,22.0,1
6,98.15,Month-to-Month,Yes,Bank Withdrawal,Yes,26.0,0
70,84.1,Two Year,Yes,Bank Withdrawal,Yes,24.0,4
70,113.05,Two Year,Yes,Credit Card,Yes,15.0,4
6,50.05,Month-to-Month,No,Credit Card,No,13.0,0
30,19.3,Two Year,No,Credit Card,,22.0,8
34,25.05,Month-to-Month,Yes,Bank Withdrawal,Yes,28.0,0
43,104.3,One Year,Yes,Credit Card,Yes,47.0,0
46,56.9,One Year,No,Credit Card,Yes,15.0,9
25,74.3,Month-to-Month,No,Bank Withdrawal,Yes,26.0,0
5,69.75,Month-to-Month,Yes,Bank Withdrawal,Yes,5.0,0
41,51.35,One Year,Yes,Bank Withdrawal,No,8.0,0
38,20.3,One Year,No,Credit Card,,22.0,1
59,19.35,Two Year,No,Credit Card,,20.0,0
30,94.4,One Year,Yes,Bank Withdrawal,Yes,27.0,0
1,54.9,Month-to-Month,Yes,Bank Withdrawal,Yes,58.0,0
34,105.1,Month-to-Month,Yes,Bank Withdrawal,Yes,2.0,0
60,104.35,One Year,Yes,Bank Withdrawal,Yes,15.0,2
70,106.15,One Year,Yes,Bank Withdrawal,Yes,28.0,7
68,70.95,Two Year,No,Bank Withdrawal,Yes,3.0,4
54,72.1,One Year,No,Credit Card,Yes,2.0,0
40,98.15,One Year,Yes,Credit Card,Yes,18.0,2
14,80.05,Month-to-Month,Yes,Credit Card,Yes,21.0,0
38,101.15,One Year,No,Bank Withdrawal,Yes,27.0,9
70,110.5,Two Year,Yes,Bank Withdrawal,Yes,23.0,4
16,74.55,Month-to-Month,Yes,Credit Card,Yes,82.0,0
51,83.25,Two Year,Yes,Credit Card,Yes,9.0,1
6,25.1,One Year,No,Mailed Check,,22.0,4
30,19.65,Month-to-Month,No,Bank Withdrawal,,20.0,1
35,50.15,Month-to-Month,No,Mailed Check,No,19.0,0
35,85.15,One Year,Yes,Bank Withdrawal,Yes,16.0,0
72,19.4,Two Year,No,Credit Card,,22.0,1
24,24.1,Two Year,Yes,Bank Withdrawal,,22.0,1
1,95.6,Month-to-Month,Yes,Bank Withdrawal,Yes,27.0,0
38,78.95,One Year,No,Credit Card,Yes,30.0,2
1,95.1,Month-to-Month,Yes,Bank Withdrawal,Yes,11.0,1
50,103.7,Month-to-Month,No,Bank Withdrawal,Yes,69.0,1
46,40.4,Two Year,No,Credit Card,No,26.0,6
17,104.2,Month-to-Month,Yes,Bank Withdrawal,Yes,15.0,1
22,69.25,Month-to-Month,Yes,Bank Withdrawal,Yes,52.0,1
72,89.05,Two Year,Yes,Bank Withdrawal,Yes,30.0,7
71,104.05,Two Year,No,Bank Withdrawal,Yes,16.0,0
23,90.6,Month-to-Month,Yes,Bank Withdrawal,Yes,69.0,0
18,94.75,Month-to-Month,Yes,Bank Withdrawal,Yes,16.0,1
1,74.0,Month-to-Month,No,Bank Withdrawal,Yes,25.0,0
71,86.1,Two Year,Yes,Bank Withdrawal,Yes,6.0,7
1,74.25,Month-to-Month,Yes,Mailed Check,Yes,42.0,0
42,73.15,One Year,No,Bank Withdrawal,Yes,23.0,1
24,78.85,Month-to-Month,Yes,Bank Withdrawal,Yes,22.0,1
32,85.0,Month-to-Month,Yes,Bank Withdrawal,Yes,23.0,1
1,21.05,Month-to-Month,Yes,Mailed Check,,21.0,0
1,71.35,Month-to-Month,Yes,Credit Card,Yes,51.0,0
2,94.2,Month-to-Month,Yes,Bank Withdrawal,Yes,19.0,4
12,99.95,Month-to-Month,Yes,Credit Card,No,42.0,0
1,45.6,Month-to-Month,No,Credit Card,Yes,9.0,0
50,88.05,Month-to-Month,Yes,Bank Withdrawal,No,4.0,1
68,80.35,One Year,Yes,Credit Card,Yes,15.0,7
19,78.7,Month-to-Month,Yes,Bank Withdrawal,Yes,13.0,0
30,48.8,Month-to-Month,Yes,Credit Card,Yes,13.0,0
60,20.95,Two Year,Yes,Bank Withdrawal,,22.0,9
70,65.2,One Year,No,Bank Withdrawal,Yes,12.0,1
10,94.9,Month-to-Month,Yes,Bank Withdrawal,Yes,41.0,0
1,95.85,Month-to-Month,Yes,Bank Withdrawal,Yes,14.0,0
1,70.8,Month-to-Month,Yes,Mailed Check,Yes,27.0,0
71,96.35,Two Year,Yes,Credit Card,Yes,12.0,3
52,95.65,Month-to-Month,Yes,Credit Card,Yes,85.0,1
43,24.25,Two Year,No,Credit Card,,22.0,4
1,20.35,Month-to-Month,No,Credit Card,,21.0,0
64,90.6,Two Year,Yes,Mailed Check,Yes,19.0,3
46,19.6,Month-to-Month,No,Bank Withdrawal,,22.0,3
72,90.8,Two Year,Yes,Credit Card,No,59.0,1
13,52.1,Month-to-Month,Yes,Credit Card,Yes,59.0,0
52,105.05,Month-to-Month,Yes,Bank Withdrawal,Yes,48.0,6
18,49.55,Month-to-Month,Yes,Mailed Check,Yes,26.0,1
18,-1.0,Month-to-Month,Yes,Bank Withdrawal,Yes,20.0,0
21,94.3,Month-to-Month,Yes,Bank Withdrawal,No,8.0,6
72,110.6,Two Year,Yes,Credit Card,Yes,18.0,7
24,24.2,Two Year,No,Credit Card,,22.0,1
8,20.25,Month-to-Month,No,Credit Card,,22.0,9
28,49.9,Month-to-Month,No,Credit Card,Yes,30.0,6
39,54.85,One Year,No,Bank Withdrawal,Yes,29.0,0
12,20.3,Month-to-Month,No,Mailed Check,,22.0,0
47,19.75,Two Year,No,Credit Card,,22.0,10
27,69.05,Month-to-Month,Yes,Credit Card,Yes,26.0,0
39,100.45,Two Year,Yes,Bank Withdrawal,Yes,19.0,0
21,36.0,Month-to-Month,Yes,Credit Card,Yes,9.0,0
69,99.5,One Year,No,Bank Withdrawal,Yes,4.0,10
17,92.6,Month-to-Month,No,Bank Withdrawal,Yes,13.0,10
1,20.6,Month-to-Month,No,Credit Card,,20.0,0
9,88.4,Month-to-Month,Yes,Credit Card,Yes,52.0,0
51,69.15,Month-to-Month,No,Credit Card,No,13.0,1
4,95.45,Month-to-Month,Yes,Bank Withdrawal,Yes,2.0,0
1,78.05,Month-to-Month,No,Bank Withdrawal,No,59.0,0
12,73.75,Month-to-Month,Yes,Credit Card,Yes,59.0,0
1,81.7,Month-to-Month,Yes,Bank Withdrawal,Yes,28.0,0
62,115.05,One Year,Yes,Credit Card,Yes,13.0,0
13,100.8,Month-to-Month,Yes,Bank Withdrawal,Yes,28.0,0
64,108.95,Two Year,Yes,Bank Withdrawal,Yes,24.0,0
31,81.15,One Year,Yes,Mailed Check,Yes,41.0,2
22,43.75,One Year,Yes,Bank Withdrawal,Yes,16.0,0
50,44.45,One Year,Yes,Bank Withdrawal,Yes,73.0,3
49,19.9,Two Year,Yes,Credit Card,,22.0,0
14,89.65,Month-to-Month,Yes,Credit Card,No,3.0,1
53,94.45,One Year,Yes,Credit Card,Yes,6.0,0
1,19.2,Month-to-Month,Yes,Credit Card,,21.0,0
7,20.25,Month-to-Month,Yes,Bank Withdrawal,,22.0,0
29,35.65,Two Year,Yes,Credit Card,Yes,20.0,8
41,99.8,Month-to-Month,Yes,Bank Withdrawal,Yes,15.0,0
69,99.15,Two Year,No,Bank Withdrawal,Yes,19.0,6
24,79.65,Month-to-Month,Yes,Credit Card,Yes,82.0,2
42,80.45,One Year,No,Credit Card,Yes,82.0,1
21,86.5,Month-to-Month,Yes,Bank Withdrawal,Yes,29.0,3
17,54.6,One Year,No,Bank Withdrawal,Yes,27.0,5
8,94.45,Month-to-Month,Yes,Credit Card,Yes,8.0,0
1,25.4,Month-to-Month,No,Mailed Check,,21.0,0
69,85.35,Two Year,Yes,Credit Card,Yes,28.0,0
30,91.7,Month-to-Month,No,Credit Card,Yes,19.0,0
63,100.55,Month-to-Month,Yes,Bank Withdrawal,No,16.0,3
5,20.65,Month-to-Month,No,Bank Withdrawal,,22.0,0
23,20.85,Month-to-Month,No,Bank Withdrawal,,22.0,0
60,89.45,Two Year,No,Bank Withdrawal,No,19.0,6
2,18.75,Month-to-Month,No,Bank Withdrawal,,21.0,0
27,74.4,Month-to-Month,No,Credit Card,Yes,28.0,6
60,61.35,Two Year,Yes,Credit Card,Yes,16.0,5
53,19.05,One Year,No,Credit Card,,22.0,5
1,24.4,Month-to-Month,Yes,Bank Withdrawal,Yes,6.0,0
67,86.15,Two Year,No,Bank Withdrawal,Yes,23.0,1
24,49.7,Month-to-Month,Yes,Mailed Check,Yes,59.0,0
59,19.5,Two Year,No,Credit Card,,22.0,1
39,99.95,Month-to-Month,Yes,Credit Card,Yes,53.0,1
1,85.0,Month-to-Month,Yes,Bank Withdrawal,Yes,8.0,0
56,24.3,One Year,No,Bank Withdrawal,,22.0,7
3,19.3,Month-to-Month,No,Credit Card,,21.0,5
67,109.4,One Year,Yes,Bank Withdrawal,Yes,19.0,7
3,25.3,Month-to-Month,No,Bank Withdrawal,Yes,30.0,0
25,55.1,One Year,Yes,Credit Card,Yes,25.0,2
53,19.9,Two Year,No,Credit Card,,22.0,8
3,36.45,Month-to-Month,Yes,Credit Card,Yes,20.0,1
32,84.05,One Year,No,Bank Withdrawal,Yes,14.0,0
21,20.75,Month-to-Month,No,Credit Card,,22.0,0
29,90.1,One Year,No,Bank Withdrawal,Yes,16.0,10
19,59.8,Month-to-Month,Yes,Credit Card,Yes,48.0,3
1,20.25,Month-to-Month,Yes,Credit Card,,21.0,0
8,94.0,Month-to-Month,Yes,Bank Withdrawal,Yes,14.0,0
32,73.6,Two Year,No,Credit Card,Yes,59.0,1
45,84.35,Two Year,Yes,Credit Card,Yes,3.0,3
1,48.45,Month-to-Month,Yes,Bank Withdrawal,Yes,21.0,0
37,78.9,Month-to-Month,Yes,Credit Card,No,4.0,0
19,24.1,Month-to-Month,Yes,Credit Card,,22.0,0
25,19.05,Month-to-Month,No,Mailed Check,,22.0,0
20,64.4,Month-to-Month,No,Credit Card,Yes,29.0,0
35,20.75,One Year,No,Credit Card,,22.0,0
3,69.15,Month-to-Month,Yes,Bank Withdrawal,No,73.0,3
5,69.95,Month-to-Month,No,Credit Card,Yes,16.0,1
48,82.05,One Year,Yes,Mailed Check,Yes,30.0,1
38,102.6,Two Year,Yes,Bank Withdrawal,Yes,24.0,7
1,70.3,Month-to-Month,Yes,Bank Withdrawal,Yes,11.0,0
71,82.7,Two Year,Yes,Bank Withdrawal,Yes,24.0,1
4,101.7,Month-to-Month,Yes,Bank Withdrawal,Yes,85.0,0
33,53.75,One Year,Yes,Credit Card,Yes,59.0,1
1,71.25,Two Year,Yes,Bank Withdrawal,No,2.0,0
62,113.95,Two Year,No,Credit Card,Yes,51.0,3
24,78.6,Two Year,No,Credit Card,Yes,56.0,8
72,91.35,Two Year,Yes,Bank Withdrawal,Yes,22.0,0
67,106.7,Two Year,No,Credit Card,Yes,16.0,3
71,24.7,Two Year,No,Bank Withdrawal,,22.0,1
72,107.7,Two Year,Yes,Credit Card,Yes,85.0,4
2,70.35,Month-to-Month,Yes,Bank Withdrawal,No,22.0,1
64,109.2,Two Year,Yes,Credit Card,Yes,12.0,1
11,20.0,One Year,Yes,Credit Card,,22.0,8
32,80.3,Month-to-Month,Yes,Credit Card,Yes,25.0,1
66,96.6,Two Year,No,Credit Card,Yes,20.0,5
13,48.75,Month-to-Month,Yes,Bank Withdrawal,Yes,8.0,1
43,90.25,One Year,Yes,Bank Withdrawal,Yes,26.0,0
67,19.45,One Year,Yes,Credit Card,,22.0,0
43,19.55,Two Year,No,Credit Card,,22.0,0
7,86.8,Month-to-Month,Yes,Bank Withdrawal,Yes,59.0,0
20,79.15,Month-to-Month,Yes,Bank Withdrawal,Yes,5.0,0
67,105.7,One Year,Yes,Bank Withdrawal,Yes,73.0,2
30,101.5,Month-to-Month,Yes,Bank Withdrawal,Yes,24.0,1
10,89.8,Month-to-Month,Yes,Bank Withdrawal,Yes,24.0,0
72,20.25,Two Year,No,Credit Card,,22.0,0
40,104.5,Month-to-Month,Yes,Credit Card,Yes,15.0,0
61,88.65,Two Year,No,Credit Card,Yes,22.0,0
1,20.3,Month-to-Month,Yes,Mailed Check,,20.0,0
34,116.15,Two Year,Yes,Credit Card,Yes,51.0,0
4,-3.0,Month-to-Month,No,Credit Card,,22.0,0
66,108.1,One Year,Yes,Credit Card,Yes,23.0,3
11,76.5,Month-to-Month,Yes,Bank Withdrawal,Yes,4.0,0
21,19.6,Two Year,No,Credit Card,,22.0,0
10,24.8,Month-to-Month,No,Credit Card,,22.0,0
3,69.65,Month-to-Month,No,Bank Withdrawal,Yes,23.0,0
64,105.25,Two Year,Yes,Bank Withdrawal,Yes,30.0,5
56,19.95,One Year,No,Credit Card,,22.0,0
64,93.4,Two Year,No,Bank Withdrawal,Yes,11.0,2
27,84.8,One Year,Yes,Bank Withdrawal,Yes,21.0,5
68,-8.0,Two Year,No,Credit Card,No,28.0,0
1,94.4,Month-to-Month,No,Bank Withdrawal,Yes,6.0,0
20,91.0,One Year,Yes,Bank Withdrawal,Yes,2.0,2
3,20.2,Month-to-Month,No,Bank Withdrawal,,21.0,0
29,95.9,Month-to-Month,Yes,Bank Withdrawal,No,21.0,1
66,58.2,Two Year,Yes,Credit Card,Yes,59.0,9
53,94.0,One Year,Yes,Bank Withdrawal,Yes,25.0,1
14,89.95,Month-to-Month,Yes,Bank Withdrawal,Yes,27.0,0
63,105.4,Month-to-Month,No,Bank Withdrawal,No,73.0,0
70,58.4,One Year,Yes,Bank Withdrawal,Yes,19.0,1
22,25.25,Two Year,No,Credit Card,,22.0,0
71,66.85,One Year,Yes,Credit Card,Yes,26.0,1
55,79.4,Month-to-Month,No,Bank Withdrawal,Yes,53.0,9
16,19.75,Two Year,No,Mailed Check,,22.0,0
72,115.8,Two Year,Yes,Bank Withdrawal,Yes,6.0,0
62,89.8,Month-to-Month,Yes,Bank Withdrawal,Yes,3.0,7
4,45.25,Month-to-Month,No,Credit Card,Yes,30.0,8
3,95.2,Month-to-Month,Yes,Bank Withdrawal,No,42.0,5
12,101.35,Month-to-Month,Yes,Bank Withdrawal,Yes,4.0,1
14,66.6,Month-to-Month,Yes,Credit Card,Yes,11.0,3
1,70.15,Month-to-Month,Yes,Mailed Check,Yes,6.0,0
48,97.05,One Year,Yes,Bank Withdrawal,Yes,59.0,4
67,79.7,Two Year,Yes,Bank Withdrawal,Yes,3.0,0
31,20.95,One Year,No,Mailed Check,,22.0,0
66,103.15,One Year,Yes,Bank Withdrawal,Yes,19.0,7
2,-7.0,Month-to-Month,Yes,Credit Card,Yes,41.0,0
65,59.6,Two Year,Yes,Mailed Check,No,76.0,0
61,101.05,Two Year,Yes,Bank Withdrawal,Yes,21.0,2
51,24.95,Two Year,Yes,Credit Card,,22.0,7
66,90.95,Two Year,Yes,Credit Card,Yes,51.0,0
7,94.05,One Year,Yes,Credit Card,Yes,42.0,0
36,97.35,Month-to-Month,Yes,Bank Withdrawal,Yes,27.0,3
34,26.1,Two Year,No,Bank Withdrawal,,22.0,0
64,69.25,Two Year,No,Mailed Check,Yes,51.0,4
9,84.4,Month-to-Month,Yes,Credit Card,Yes,18.0,0
1,55.55,Month-to-Month,No,Mailed Check,No,48.0,0
2,19.9,Month-to-Month,Yes,Credit Card,,21.0,0
72,84.5,Two Year,Yes,Credit Card,Yes,20.0,4
48,106.1,One Year,Yes,Credit Card,Yes,4.0,0
69,104.7,One Year,Yes,Bank Withdrawal,Yes,3.0,0
64,73.05,One Year,Yes,Credit Card,Yes,71.0,5
58,19.15,Two Year,Yes,Bank Withdrawal,,22.0,0
24,19.75,Two Year,No,Mailed Check,,22.0,0
29,79.3,Month-to-Month,Yes,Bank Withdrawal,Yes,2.0,0
18,20.45,Month-to-Month,No,Credit Card,,22.0,8
51,20.45,Two Year,No,Credit Card,,22.0,0
